target	name	probe count	reads hit	reads tested	total size	strains
9447	Insecta_Coleoptera_Coccinellidae_Cycloneda_sanguinea	404	10921	33454	33854	2
9448	Insecta_Coleoptera_Coccinellidae_Halyzia	0	0	15567	15767	1
9449	Insecta_Coleoptera_Coccinellidae_Halyzia_sedecimguttata	1723	15567	15567	15767	1
9450	Insecta_Coleoptera_Coccinellidae_Harmonia	13	195	87556	88556	5
9451	Insecta_Coleoptera_Coccinellidae_Harmonia_axyridis	1100	45209	69704	70504	4
9452	Insecta_Coleoptera_Coccinellidae_Harmonia_quadripunctata	2198	17852	17852	18052	1
9453	Insecta_Coleoptera_Coccinellidae_Henosepilachna	0	0	16017	16217	1
9454	Insecta_Coleoptera_Coccinellidae_Henosepilachna_pusillanima	1408	12522	16017	16217	1
9455	Insecta_Coleoptera_Coccinellidae_Hippodamia	16	899	94021	95221	6
9456	Insecta_Coleoptera_Coccinellidae_Hippodamia_convergens	413	22607	61557	62357	4
9457	Insecta_Coleoptera_Coccinellidae_Hippodamia_tredecimpunctata	520	4803	17076	17276	1
9458	Insecta_Coleoptera_Coccinellidae_Hippodamia_undecimnotata	1821	15377	15388	15588	1
9459	Insecta_Coleoptera_Coccinellidae_Propylea	1278	13062	30544	30944	2
9460	Insecta_Coleoptera_Coccinellidae_Propylea_japonica	1374	14818	14828	15028	1
9461	Insecta_Coleoptera_Coccinellidae_Subcoccinella	0	0	14446	14646	1
9462	Insecta_Coleoptera_Coccinellidae_Subcoccinella_vigintiquatuorpunctata	981	8137	14446	14646	1
9463	Insecta_Coleoptera_Corylophidae	0	0	12275	12475	1
9464	Insecta_Coleoptera_Corylophidae_Gloeosoma	1203	12275	12275	12475	1
9465	Insecta_Coleoptera_Cryptophagidae	0	0	17708	17908	1
9466	Insecta_Coleoptera_Cryptophagidae_Micrambe	0	0	17708	17908	1
9467	Insecta_Coleoptera_Cryptophagidae_Micrambe_villosus	1876	17708	17708	17908	1
9468	Insecta_Coleoptera_Cucujidae	0	0	31364	31764	2
9469	Insecta_Coleoptera_Cucujidae_Cucujus	154	62	31364	31764	2
9470	Insecta_Coleoptera_Cucujidae_Cucujus_clavipes	1554	15412	15443	15643	1
9471	Insecta_Coleoptera_Cucujidae_Cucujus_haematodes	1605	15848	15921	16121	1
9472	Insecta_Coleoptera_Curculionidae	1394	183970	1905915	1929515	118
